Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
3011169;1000025067061397194;63837331786314;(-0.081, 1.091, -0.161);(-0.041, 0.045, 0.023, 0.998);VALID;(-0.102, -0.067, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.075, -0.069, 0.995);(-0.033, 0.000, 0.000);0.308;3.995;12.984;VALID;(-0.130, -0.064, 0.989);(0.033, 0.000, 0.000);0.320;4.157;12.981;1.193967;0.07326981
3011170;1000025067066401196;63837331786314;(-0.081, 1.091, -0.161);(-0.041, 0.045, 0.023, 0.998);VALID;(-0.102, -0.067, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.074, -0.069, 0.995);(-0.033, 0.000, 0.000);0.308;3.998;12.984;VALID;(-0.129, -0.064, 0.990);(0.033, 0.000, 0.000);0.320;4.154;12.981;1.199616;0.5965446
3011171;1000025067071405183;63837331786314;(-0.081, 1.091, -0.161);(-0.041, 0.045, 0.023, 0.998);VALID;(-0.101, -0.066, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.074, -0.069, 0.995);(-0.033, 0.000, 0.000);0.308;4.001;12.984;VALID;(-0.128, -0.064, 0.990);(0.033, 0.000, 0.000);0.320;4.148;12.981;1.208631;0.6197905
3011172;1000025067076409156;63837331786314;(-0.081, 1.091, -0.161);(-0.041, 0.045, 0.023, 0.998);VALID;(-0.101, -0.066, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.074, -0.069, 0.995);(-0.033, 0.000, 0.000);0.308;4.003;12.984;VALID;(-0.128, -0.064, 0.990);(0.033, 0.000, 0.000);0.319;4.144;12.981;1.214728;0.6682251
3011173;1000025067081413116;63837331786325;(-0.081, 1.091, -0.161);(-0.040, 0.045, 0.023, 0.998);VALID;(-0.100, -0.066, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.073, -0.069, 0.995);(-0.033, 0.000, 0.000);0.309;4.006;12.984;VALID;(-0.127, -0.063, 0.990);(0.033, 0.000, 0.000);0.319;4.141;12.981;1.219933;0.6515875
3011174;1000025067086417061;63837331786325;(-0.081, 1.091, -0.161);(-0.040, 0.045, 0.023, 0.998);VALID;(-0.100, -0.066, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.073, -0.069, 0.995);(-0.033, 0.000, 0.000);0.308;4.005;12.984;VALID;(-0.127, -0.063, 0.990);(0.033, 0.000, 0.000);0.319;4.137;12.981;1.221182;0.6713232
3011175;1000025067091420993;63837331786325;(-0.081, 1.091, -0.161);(-0.040, 0.045, 0.023, 0.998);VALID;(-0.100, -0.066, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.073, -0.069, 0.995);(-0.033, 0.000, 0.000);0.308;4.002;12.984;VALID;(-0.126, -0.063, 0.990);(0.033, 0.000, 0.000);0.318;4.131;12.981;1.221754;0.6804056
3011176;1000025067096424910;63837331786337;(-0.081, 1.091, -0.162);(-0.040, 0.045, 0.023, 0.998);VALID;(-0.099, -0.066, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.072, -0.068, 0.995);(-0.033, 0.000, 0.000);0.308;3.994;12.984;VALID;(-0.126, -0.063, 0.990);(0.033, 0.000, 0.000);0.318;4.125;12.981;1.221503;0.6936599
3011177;1000025067101425352;63837331786337;(-0.081, 1.091, -0.162);(-0.040, 0.045, 0.023, 0.998);VALID;(-0.099, -0.066, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.072, -0.068, 0.995);(-0.033, 0.000, 0.000);0.307;3.986;12.984;VALID;(-0.126, -0.063, 0.990);(0.033, 0.000, 0.000);0.317;4.120;12.981;1.222103;0.7513798
3011178;1000025067106425793;63837331786354;(-0.081, 1.091, -0.162);(-0.040, 0.044, 0.023, 0.998);VALID;(-0.099, -0.066, 0.993);(0.000, 0.000, 0.000);66.725;VALID;(-0.072, -0.068, 0.995);(-0.033, 0.000, 0.000);0.306;3.979;12.984;VALID;(-0.125, -0.063, 0.990);(0.033, 0.000, 0.000);0.317;4.113;12.981;1.222222;0.7807239
