Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
3651412;1000081242753237685;63837230392980;(0.070, 1.095, -0.268);(-0.095, 0.040, 0.010, 0.995);VALID;(0.044, -0.028, 0.999);(0.000, 0.000, 0.000);76.225;VALID;(0.084, -0.026, 0.996);(-0.038, 0.000, 0.000);0.274;3.616;13.202;VALID;(0.003, -0.028, 1.000);(0.038, 0.000, 0.000);0.289;3.771;13.037;0.9417179;0
3651413;1000081242758239329;63837230392981;(0.070, 1.095, -0.268);(-0.095, 0.040, 0.010, 0.995);VALID;(0.032, -0.015, 0.999);(0.000, 0.000, 0.000);76.225;VALID;(0.073, -0.015, 0.997);(-0.038, 0.000, 0.000);0.274;3.617;13.202;VALID;(-0.010, -0.014, 1.000);(0.038, 0.000, 0.000);0.290;3.783;13.037;0.9088616;0
3651414;1000081242763240831;63837230392981;(0.070, 1.095, -0.268);(-0.095, 0.040, 0.010, 0.995);VALID;(0.023, -0.005, 1.000);(0.000, 0.000, 0.000);76.225;VALID;(0.066, -0.006, 0.998);(-0.038, 0.000, 0.000);0.274;3.617;13.202;VALID;(-0.020, -0.004, 1.000);(0.038, 0.000, 0.000);0.290;3.785;13.037;0.8900191;0
3651415;1000081242768242193;63837230392981;(0.070, 1.095, -0.268);(-0.095, 0.040, 0.010, 0.995);VALID;(0.017, 0.002, 1.000);(0.000, 0.000, 0.000);76.225;VALID;(0.060, 0.000, 0.998);(-0.038, 0.000, 0.000);0.274;3.618;13.202;VALID;(-0.027, 0.004, 1.000);(0.038, 0.000, 0.000);0.290;3.785;13.037;0.8753514;0
3651416;1000081242773243415;63837230392981;(0.070, 1.095, -0.268);(-0.095, 0.040, 0.010, 0.995);VALID;(0.013, 0.007, 1.000);(0.000, 0.000, 0.000);76.225;VALID;(0.057, 0.005, 0.998);(-0.038, 0.000, 0.000);0.274;3.618;13.202;VALID;(-0.032, 0.009, 0.999);(0.038, 0.000, 0.000);0.290;3.786;13.037;0.8604733;0
3651417;1000081242778244633;63837230392991;(0.070, 1.095, -0.268);(-0.095, 0.039, 0.010, 0.995);VALID;(0.009, 0.011, 1.000);(0.000, 0.000, 0.000);76.225;VALID;(0.054, 0.008, 0.999);(-0.038, 0.000, 0.000);0.274;3.618;13.202;VALID;(-0.035, 0.013, 0.999);(0.038, 0.000, 0.000);0.290;3.786;13.037;0.8512802;0
3651418;1000081242783245846;63837230392991;(0.070, 1.095, -0.268);(-0.095, 0.039, 0.010, 0.995);VALID;(0.007, 0.013, 1.000);(0.000, 0.000, 0.000);76.225;VALID;(0.051, 0.011, 0.999);(-0.038, 0.000, 0.000);0.274;3.618;13.202;VALID;(-0.038, 0.016, 0.999);(0.038, 0.000, 0.000);0.290;3.786;13.037;0.8492595;0
3651419;1000081242788247054;63837230393001;(0.070, 1.095, -0.269);(-0.095, 0.039, 0.010, 0.995);VALID;(0.005, 0.015, 1.000);(0.000, 0.000, 0.000);76.225;VALID;(0.050, 0.012, 0.999);(-0.038, 0.000, 0.000);0.274;3.619;13.202;VALID;(-0.040, 0.018, 0.999);(0.038, 0.000, 0.000);0.290;3.786;13.037;0.8482667;0
3651420;1000081242793248258;63837230393002;(0.070, 1.095, -0.269);(-0.095, 0.039, 0.010, 0.995);VALID;(0.004, 0.017, 1.000);(0.000, 0.000, 0.000);76.225;VALID;(0.049, 0.014, 0.999);(-0.038, 0.000, 0.000);0.274;3.620;13.202;VALID;(-0.041, 0.020, 0.999);(0.038, 0.000, 0.000);0.290;3.786;13.037;0.8500571;0
3651421;1000081242798249458;63837230393012;(0.069, 1.095, -0.269);(-0.095, 0.038, 0.010, 0.995);VALID;(0.003, 0.018, 1.000);(0.000, 0.000, 0.000);76.225;VALID;(0.048, 0.015, 0.999);(-0.038, 0.000, 0.000);0.274;3.622;13.202;VALID;(-0.041, 0.021, 0.999);(0.038, 0.000, 0.000);0.290;3.787;13.037;0.847682;0
