Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2104893;1000460898961161179;63835597430600;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2104913;1000460899061182040;63835597430601;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2104933;1000460899161202784;63835597430601;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2104953;1000460899261290267;63835597430601;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2104973;1000460899361304967;63835597430601;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2104993;1000460899461387668;63835597430664;(-0.045, 0.716, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105013;1000460899561391941;63835597430765;(-0.044, 0.717, 0.560);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105033;1000460899661402654;63835597430865;(-0.044, 0.717, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105053;1000460899761481251;63835597430965;(-0.044, 0.717, 0.560);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105073;1000460899861483016;63835597431066;(-0.045, 0.716, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105093;1000460899961559271;63835597431166;(-0.044, 0.716, 0.560);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105113;1000460900061630431;63835597431265;(-0.044, 0.717, 0.560);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105133;1000460900161628668;63835597431363;(-0.044, 0.717, 0.560);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105153;1000460900261697398;63835597431487;(-0.044, 0.717, 0.560);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105173;1000460900361689827;63835597431565;(-0.044, 0.717, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105193;1000460900461755542;63835597431666;(-0.045, 0.716, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105213;1000460900561817979;63835597431764;(-0.045, 0.716, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105233;1000460900661773905;63835597431864;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105253;1000460900761834776;63835597431965;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105273;1000460900861893088;63835597432065;(-0.046, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105293;1000460900961857027;63835597432165;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105313;1000460901061914198;63835597432264;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105333;1000460901161899455;63835597432364;(-0.046, 0.714, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105353;1000460901261951065;63835597432465;(-0.046, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105373;1000460901362004848;63835597432576;(-0.046, 0.714, 0.559);(-0.034, -0.169, -0.012, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105393;1000460901461939822;63835597432665;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105413;1000460901561993268;63835597432764;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105433;1000460901662044511;63835597432865;(-0.045, 0.716, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2105453;1000460901762077831;63835597432964;(-0.045, 0.715, 0.559);(-0.034, -0.169, -0.011, 0.985);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
