Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2953670;1000024779460411000;63837331498714;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.005, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.280;3.361;12.012;VALID;(-0.036, 0.026, 0.999);(0.032, 0.000, 0.000);0.290;3.696;12.735;0.7914311;0.4169686
2953671;1000024779465415149;63837331498714;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.005, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.280;3.363;12.012;VALID;(-0.036, 0.026, 0.999);(0.032, 0.000, 0.000);0.290;3.695;12.735;0.7921731;0.4379156
2953672;1000024779470419150;63837331498714;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.004, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.280;3.365;12.012;VALID;(-0.036, 0.026, 0.999);(0.032, 0.000, 0.000);0.292;3.715;12.735;0.7907873;0.4389
2953673;1000024779475423004;63837331498714;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.004, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.280;3.367;12.012;VALID;(-0.036, 0.027, 0.999);(0.032, 0.000, 0.000);0.291;3.710;12.735;0.7931357;0.4299622
2953674;1000024779480426710;63837331498714;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.004, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.280;3.369;12.012;VALID;(-0.036, 0.027, 0.999);(0.032, 0.000, 0.000);0.291;3.708;12.735;0.7946754;0.4352686
2953675;1000024779485430266;63837331498726;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.004, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.281;3.376;12.012;VALID;(-0.036, 0.027, 0.999);(0.032, 0.000, 0.000);0.291;3.707;12.735;0.7960745;0.4431377
2953676;1000024779490433676;63837331498726;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.004, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.282;3.383;12.012;VALID;(-0.036, 0.027, 0.999);(0.032, 0.000, 0.000);0.291;3.706;12.735;0.7975228;0.4556952
2953677;1000024779495437074;63837331498736;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.004, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.282;3.385;12.012;VALID;(-0.035, 0.027, 0.999);(0.032, 0.000, 0.000);0.291;3.706;12.735;0.7983571;0.4641134
2953678;1000024779500440461;63837331498736;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.005, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.282;3.387;12.012;VALID;(-0.035, 0.027, 0.999);(0.032, 0.000, 0.000);0.291;3.707;12.735;0.7989865;0.538222
2953679;1000024779505443836;63837331498747;(-0.004, 1.142, 0.090);(-0.013, 0.007, 0.000, 1.000);VALID;(0.004, 0.033, 0.999);(0.000, 0.000, 0.000);63.425;VALID;(0.042, 0.039, 0.998);(-0.032, 0.000, 0.000);0.282;3.387;12.012;VALID;(-0.035, 0.027, 0.999);(0.032, 0.000, 0.000);0.291;3.711;12.735;0.7981927;0.5922534
