Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
3101357;1000025518167578563;63837332237420;(0.037, 1.124, 0.183);(0.005, -0.030, 0.006, 1.000);VALID;(0.054, 0.117, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.098, 0.116, 0.988);(-0.031, 0.000, 0.000);0.281;3.584;12.751;VALID;(0.006, 0.117, 0.993);(0.031, 0.000, 0.000);0.336;4.060;12.075;0.6773606;0.1488584
3101358;1000025518172578805;63837332237420;(0.037, 1.124, 0.183);(0.005, -0.030, 0.006, 1.000);VALID;(0.054, 0.117, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.116, 0.988);(-0.031, 0.000, 0.000);0.281;3.583;12.751;VALID;(0.006, 0.117, 0.993);(0.031, 0.000, 0.000);0.334;4.039;12.075;0.6761771;0.1612484
3101359;1000025518177579047;63837332237420;(0.037, 1.124, 0.183);(0.005, -0.030, 0.006, 1.000);VALID;(0.054, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.116, 0.988);(-0.031, 0.000, 0.000);0.281;3.580;12.751;VALID;(0.007, 0.116, 0.993);(0.031, 0.000, 0.000);0.334;4.028;12.075;0.6769003;0.1996943
3101360;1000025518182579288;63837332237420;(0.037, 1.124, 0.183);(0.005, -0.030, 0.006, 1.000);VALID;(0.054, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.116, 0.988);(-0.031, 0.000, 0.000);0.280;3.576;12.751;VALID;(0.007, 0.116, 0.993);(0.031, 0.000, 0.000);0.334;4.028;12.075;0.6789348;0.2129037
3101361;1000025518187579528;63837332237430;(0.037, 1.124, 0.183);(0.004, -0.029, 0.006, 1.000);VALID;(0.054, 0.117, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.116, 0.988);(-0.031, 0.000, 0.000);0.280;3.571;12.751;VALID;(0.007, 0.117, 0.993);(0.031, 0.000, 0.000);0.334;4.029;12.075;0.6772163;0.1863683
3101362;1000025518192579767;63837332237430;(0.037, 1.124, 0.183);(0.004, -0.029, 0.006, 1.000);VALID;(0.054, 0.117, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.115, 0.988);(-0.031, 0.000, 0.000);0.280;3.569;12.751;VALID;(0.007, 0.118, 0.993);(0.031, 0.000, 0.000);0.334;4.029;12.075;0.6759468;0.2587783
3101363;1000025518197580006;63837332237441;(0.037, 1.124, 0.183);(0.004, -0.029, 0.006, 1.000);VALID;(0.054, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.115, 0.988);(-0.031, 0.000, 0.000);0.280;3.567;12.751;VALID;(0.007, 0.117, 0.993);(0.031, 0.000, 0.000);0.333;4.024;12.075;0.6749051;0.1722096
3101364;1000025518202580244;63837332237441;(0.037, 1.124, 0.183);(0.004, -0.029, 0.006, 1.000);VALID;(0.054, 0.117, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.115, 0.988);(-0.031, 0.000, 0.000);0.280;3.566;12.751;VALID;(0.007, 0.118, 0.993);(0.031, 0.000, 0.000);0.334;4.035;12.075;0.6765754;0.03858805
3101365;1000025518207580481;63837332237452;(0.037, 1.124, 0.183);(0.004, -0.029, 0.006, 1.000);VALID;(0.054, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.115, 0.988);(-0.031, 0.000, 0.000);0.280;3.565;12.751;VALID;(0.007, 0.117, 0.993);(0.031, 0.000, 0.000);0.332;4.013;12.075;0.6786753;0.00398516
3101366;1000025518212580716;63837332237452;(0.037, 1.124, 0.183);(0.004, -0.029, 0.006, 1.000);VALID;(0.054, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.116, 0.988);(-0.031, 0.000, 0.000);0.280;3.564;12.751;VALID;(0.007, 0.117, 0.993);(0.031, 0.000, 0.000);0.332;4.014;12.075;0.681542;0
3101367;1000025518217580952;63837332237452;(0.037, 1.124, 0.183);(0.004, -0.029, 0.006, 1.000);VALID;(0.054, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.116, 0.988);(-0.031, 0.000, 0.000);0.280;3.564;12.751;VALID;(0.007, 0.117, 0.993);(0.031, 0.000, 0.000);0.331;3.994;12.075;0.6807318;0
3101368;1000025518222581185;63837332237463;(0.037, 1.124, 0.183);(0.004, -0.029, 0.006, 1.000);VALID;(0.054, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.116, 0.988);(-0.031, 0.000, 0.000);0.279;3.563;12.751;VALID;(0.008, 0.116, 0.993);(0.031, 0.000, 0.000);0.330;3.981;12.075;0.6864053;0
3101369;1000025518227581552;63837332237463;(0.037, 1.124, 0.183);(0.004, -0.029, 0.006, 1.000);VALID;(0.055, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.116, 0.988);(-0.031, 0.000, 0.000);0.279;3.561;12.751;VALID;(0.008, 0.115, 0.993);(0.031, 0.000, 0.000);0.329;3.972;12.075;0.6909382;0
3101370;1000025518232582053;63837332237474;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.055, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.099, 0.117, 0.988);(-0.031, 0.000, 0.000);0.279;3.559;12.751;VALID;(0.009, 0.115, 0.993);(0.031, 0.000, 0.000);0.330;3.985;12.075;0.6931463;0
3101371;1000025518237582686;63837332237474;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.055, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.098, 0.117, 0.988);(-0.031, 0.000, 0.000);0.279;3.557;12.751;VALID;(0.009, 0.115, 0.993);(0.031, 0.000, 0.000);0.331;4.001;12.075;0.6973671;0
3101372;1000025518242583450;63837332237485;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.055, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.098, 0.117, 0.988);(-0.031, 0.000, 0.000);0.279;3.556;12.751;VALID;(0.009, 0.115, 0.993);(0.031, 0.000, 0.000);0.330;3.987;12.075;0.6963698;0
3101373;1000025518247584345;63837332237486;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.055, 0.116, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.098, 0.117, 0.988);(-0.031, 0.000, 0.000);0.279;3.555;12.751;VALID;(0.009, 0.115, 0.993);(0.031, 0.000, 0.000);0.330;3.985;12.075;0.6977608;0
3101374;1000025518252585372;63837332237496;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.055, 0.115, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.098, 0.117, 0.988);(-0.031, 0.000, 0.000);0.279;3.554;12.751;VALID;(0.009, 0.114, 0.993);(0.031, 0.000, 0.000);0.329;3.975;12.075;0.698319;0
3101375;1000025518257589859;63837332237496;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.055, 0.115, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.098, 0.117, 0.988);(-0.031, 0.000, 0.000);0.279;3.552;12.751;VALID;(0.009, 0.114, 0.993);(0.031, 0.000, 0.000);0.329;3.971;12.075;0.7004299;0
3101376;1000025518262594330;63837332237497;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.055, 0.115, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.098, 0.117, 0.988);(-0.031, 0.000, 0.000);0.278;3.549;12.751;VALID;(0.009, 0.114, 0.993);(0.031, 0.000, 0.000);0.329;3.970;12.075;0.7029873;0
3101377;1000025518267598786;63837332237507;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.055, 0.115, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.098, 0.117, 0.988);(-0.031, 0.000, 0.000);0.278;3.547;12.751;VALID;(0.009, 0.114, 0.993);(0.031, 0.000, 0.000);0.329;3.971;12.075;0.7045792;0
3101378;1000025518272603228;63837332237507;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.054, 0.115, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.098, 0.117, 0.988);(-0.031, 0.000, 0.000);0.278;3.545;12.751;VALID;(0.009, 0.113, 0.994);(0.031, 0.000, 0.000);0.329;3.972;12.075;0.7035478;0
3101379;1000025518277607655;63837332237517;(0.037, 1.124, 0.183);(0.005, -0.029, 0.006, 1.000);VALID;(0.054, 0.115, 0.992);(0.000, 0.000, 0.000);62.750;VALID;(0.097, 0.117, 0.988);(-0.031, 0.000, 0.000);0.278;3.543;12.751;VALID;(0.009, 0.113, 0.994);(0.031, 0.000, 0.000);0.329;3.974;12.075;0.7022671;0
