Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2597001;1000022995457687578;63837329714732;(-0.071, 1.103, 0.111);(0.071, 0.014, 0.015, 0.997);VALID;(0.105, 0.410, 0.906);(0.000, 0.000, 0.000);63.175;VALID;(0.201, 0.398, 0.895);(-0.032, 0.000, 0.000);0.290;3.545;12.207;VALID;(0.082, 0.407, 0.910);(0.032, 0.000, 0.000);0.317;3.867;12.184;0.5190402;0
2597002;1000022995462689089;63837329714732;(-0.071, 1.103, 0.111);(0.071, 0.014, 0.015, 0.997);VALID;(0.107, 0.408, 0.907);(0.000, 0.000, 0.000);63.175;VALID;(0.207, 0.393, 0.896);(-0.032, 0.000, 0.000);0.291;3.555;12.207;VALID;(0.084, 0.406, 0.910);(0.032, 0.000, 0.000);0.320;3.894;12.184;0.5030043;0
2597003;1000022995467690731;63837329714732;(-0.071, 1.103, 0.111);(0.071, 0.014, 0.015, 0.997);VALID;(0.115, 0.405, 0.907);(0.000, 0.000, 0.000);63.175;VALID;(0.209, 0.393, 0.896);(-0.032, 0.000, 0.000);0.311;3.802;12.207;VALID;(0.095, 0.403, 0.911);(0.032, 0.000, 0.000);0.316;3.854;12.184;0.5396364;0
2597004;1000022995472692502;63837329714732;(-0.071, 1.103, 0.111);(0.071, 0.014, 0.015, 0.997);VALID;(0.127, 0.403, 0.906);(0.000, 0.000, 0.000);63.175;VALID;(0.215, 0.391, 0.895);(-0.032, 0.000, 0.000);0.318;3.879;12.207;VALID;(0.111, 0.401, 0.909);(0.032, 0.000, 0.000);0.320;3.902;12.184;0.5877818;0
2597005;1000022995477694402;63837329714732;(-0.071, 1.103, 0.111);(0.071, 0.014, 0.015, 0.997);VALID;(0.155, 0.400, 0.903);(0.000, 0.000, 0.000);63.175;VALID;(0.229, 0.390, 0.892);(-0.032, 0.000, 0.000);0.309;3.774;12.207;VALID;(0.130, 0.398, 0.908);(0.032, 0.000, 0.000);0.320;3.902;12.184;0.6165958;0
2597006;1000022995482699863;63837329714733;(-0.071, 1.103, 0.111);(0.071, 0.014, 0.015, 0.997);VALID;(0.187, 0.396, 0.899);(0.000, 0.000, 0.000);63.175;VALID;(0.250, 0.387, 0.887);(-0.032, 0.000, 0.000);0.301;3.675;12.207;VALID;(0.153, 0.396, 0.905);(0.032, 0.000, 0.000);0.319;3.889;12.184;0.6255196;0
2597007;1000022995487705305;63837329714733;(-0.071, 1.103, 0.111);(0.071, 0.014, 0.015, 0.997);VALID;(0.194, 0.393, 0.899);(0.000, 0.000, 0.000);63.175;VALID;(0.272, 0.383, 0.883);(-0.032, 0.000, 0.000);0.293;3.573;12.207;VALID;(0.169, 0.393, 0.904);(0.032, 0.000, 0.000);0.319;3.888;12.184;0.5792833;0
2597008;1000022995492710729;63837329714733;(-0.071, 1.103, 0.111);(0.071, 0.014, 0.015, 0.997);VALID;(0.222, 0.390, 0.894);(0.000, 0.000, 0.000);63.175;VALID;(0.289, 0.381, 0.878);(-0.032, 0.000, 0.000);0.293;3.580;12.207;VALID;(0.188, 0.392, 0.901);(0.032, 0.000, 0.000);0.319;3.884;12.184;0.5903666;0
2597009;1000022995497716134;63837329714733;(-0.071, 1.103, 0.111);(0.071, 0.014, 0.015, 0.997);VALID;(0.223, 0.390, 0.893);(0.000, 0.000, 0.000);63.175;VALID;(0.301, 0.377, 0.876);(-0.032, 0.000, 0.000);0.293;3.582;12.207;VALID;(0.201, 0.391, 0.898);(0.032, 0.000, 0.000);0.319;3.881;12.184;0.5888392;0
2597010;1000022995502718032;63837329714739;(-0.071, 1.103, 0.111);(0.069, 0.015, 0.015, 0.997);VALID;(0.237, 0.388, 0.891);(0.000, 0.000, 0.000);63.175;VALID;(0.310, 0.376, 0.874);(-0.032, 0.000, 0.000);0.293;3.572;12.207;VALID;(0.207, 0.390, 0.897);(0.032, 0.000, 0.000);0.319;3.881;12.184;0.5737433;0
