Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
4714805;1000086561677746652;63837235711903;(0.078, 1.077, -0.128);(-0.077, 0.020, 0.007, 0.997);VALID;(-0.121, -0.130, 0.984);(0.000, 0.000, 0.000);75.750;VALID;(-0.089, -0.129, 0.988);(-0.038, 0.000, 0.000);0.292;3.828;13.108;VALID;(-0.152, -0.132, 0.980);(0.038, 0.000, 0.000);0.291;3.808;13.080;1.185123;0.1861268
4714806;1000086561682750882;63837235711904;(0.078, 1.077, -0.128);(-0.077, 0.020, 0.007, 0.997);VALID;(-0.122, -0.131, 0.984);(0.000, 0.000, 0.000);75.750;VALID;(-0.090, -0.129, 0.987);(-0.038, 0.000, 0.000);0.292;3.829;13.108;VALID;(-0.154, -0.133, 0.979);(0.038, 0.000, 0.000);0.291;3.808;13.080;1.173461;0.2030353
4714807;1000086561687751638;63837235711904;(0.078, 1.077, -0.128);(-0.077, 0.020, 0.007, 0.997);VALID;(-0.123, -0.131, 0.984);(0.000, 0.000, 0.000);75.750;VALID;(-0.092, -0.129, 0.987);(-0.038, 0.000, 0.000);0.292;3.830;13.108;VALID;(-0.155, -0.134, 0.979);(0.038, 0.000, 0.000);0.291;3.811;13.080;1.166544;0.2139636
4714808;1000086561692752393;63837235711904;(0.078, 1.077, -0.128);(-0.077, 0.020, 0.007, 0.997);VALID;(-0.124, -0.132, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.092, -0.129, 0.987);(-0.038, 0.000, 0.000);0.292;3.833;13.108;VALID;(-0.156, -0.135, 0.979);(0.038, 0.000, 0.000);0.291;3.813;13.080;1.162049;0.2539372
4714810;1000086561702753898;63837235711918;(0.078, 1.077, -0.128);(-0.077, 0.020, 0.007, 0.997);VALID;(-0.125, -0.132, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.093, -0.130, 0.987);(-0.038, 0.000, 0.000);0.292;3.834;13.108;VALID;(-0.157, -0.136, 0.978);(0.038, 0.000, 0.000);0.292;3.816;13.080;1.160522;0.3639988
4714811;1000086561707754649;63837235711918;(0.078, 1.077, -0.128);(-0.077, 0.020, 0.007, 0.997);VALID;(-0.126, -0.133, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.094, -0.130, 0.987);(-0.038, 0.000, 0.000);0.293;3.836;13.108;VALID;(-0.157, -0.136, 0.978);(0.038, 0.000, 0.000);0.292;3.818;13.080;1.163738;0.4306583
4714812;1000086561712755397;63837235711918;(0.078, 1.077, -0.128);(-0.077, 0.020, 0.007, 0.997);VALID;(-0.126, -0.133, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.094, -0.130, 0.987);(-0.038, 0.000, 0.000);0.293;3.837;13.108;VALID;(-0.157, -0.136, 0.978);(0.038, 0.000, 0.000);0.292;3.819;13.080;1.167119;0.8531237
4714813;1000086561717756142;63837235711928;(0.077, 1.077, -0.128);(-0.077, 0.020, 0.007, 0.997);VALID;(-0.126, -0.134, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.095, -0.130, 0.987);(-0.038, 0.000, 0.000);0.293;3.838;13.108;VALID;(-0.157, -0.137, 0.978);(0.038, 0.000, 0.000);0.292;3.820;13.080;1.170423;0.9146418
4714814;1000086561722756887;63837235711928;(0.077, 1.077, -0.128);(-0.077, 0.020, 0.007, 0.997);VALID;(-0.126, -0.134, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.095, -0.131, 0.987);(-0.038, 0.000, 0.000);0.293;3.841;13.108;VALID;(-0.157, -0.137, 0.978);(0.038, 0.000, 0.000);0.292;3.821;13.080;1.171488;0.9474642
4714815;1000086561727757629;63837235711940;(0.077, 1.077, -0.128);(-0.077, 0.019, 0.007, 0.997);VALID;(-0.126, -0.134, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.095, -0.131, 0.987);(-0.038, 0.000, 0.000);0.293;3.842;13.108;VALID;(-0.157, -0.138, 0.978);(0.038, 0.000, 0.000);0.292;3.821;13.080;1.1722;1
4714816;1000086561732758369;63837235711940;(0.077, 1.077, -0.128);(-0.077, 0.019, 0.007, 0.997);VALID;(-0.126, -0.134, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.095, -0.131, 0.987);(-0.038, 0.000, 0.000);0.293;3.843;13.108;VALID;(-0.157, -0.138, 0.978);(0.038, 0.000, 0.000);0.292;3.823;13.080;1.172826;1
4714817;1000086561737759107;63837235711952;(0.077, 1.076, -0.128);(-0.077, 0.019, 0.007, 0.997);VALID;(-0.126, -0.135, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.095, -0.131, 0.987);(-0.038, 0.000, 0.000);0.293;3.843;13.108;VALID;(-0.157, -0.138, 0.978);(0.038, 0.000, 0.000);0.292;3.825;13.080;1.172305;1
4714818;1000086561742759842;63837235711952;(0.077, 1.076, -0.128);(-0.077, 0.019, 0.007, 0.997);VALID;(-0.126, -0.135, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.095, -0.131, 0.987);(-0.038, 0.000, 0.000);0.293;3.844;13.108;VALID;(-0.157, -0.138, 0.978);(0.038, 0.000, 0.000);0.293;3.830;13.080;1.167487;1
4714819;1000086561747760575;63837235711962;(0.077, 1.076, -0.128);(-0.077, 0.019, 0.007, 0.997);VALID;(-0.126, -0.134, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.094, -0.131, 0.987);(-0.038, 0.000, 0.000);0.294;3.848;13.108;VALID;(-0.158, -0.137, 0.978);(0.038, 0.000, 0.000);0.293;3.833;13.080;1.154287;0.965624
4714820;1000086561752761308;63837235711962;(0.077, 1.076, -0.128);(-0.077, 0.019, 0.007, 0.997);VALID;(-0.127, -0.134, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.094, -0.131, 0.987);(-0.038, 0.000, 0.000);0.294;3.850;13.108;VALID;(-0.158, -0.137, 0.978);(0.038, 0.000, 0.000);0.293;3.835;13.080;1.149398;0.9090232
4714821;1000086561757762037;63837235711973;(0.077, 1.077, -0.128);(-0.077, 0.019, 0.007, 0.997);VALID;(-0.126, -0.134, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.094, -0.131, 0.987);(-0.038, 0.000, 0.000);0.294;3.852;13.108;VALID;(-0.158, -0.137, 0.978);(0.038, 0.000, 0.000);0.294;3.839;13.080;1.147817;0.8956594
4714822;1000086561762762734;63837235711973;(0.077, 1.077, -0.128);(-0.077, 0.019, 0.007, 0.997);VALID;(-0.126, -0.134, 0.983);(0.000, 0.000, 0.000);75.750;VALID;(-0.094, -0.131, 0.987);(-0.038, 0.000, 0.000);0.294;3.853;13.108;VALID;(-0.158, -0.137, 0.978);(0.038, 0.000, 0.000);0.294;3.843;13.080;1.146573;0.8874692
