Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
3613062;1000081050932573554;63837230201159;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.079, 0.043, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.270;3.562;13.206;VALID;(-0.115, 0.042, 0.992);(0.038, 0.000, 0.000);0.284;3.775;13.285;1.023027;0.1004151
3613063;1000081050937575255;63837230201159;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.080, 0.043, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.270;3.559;13.206;VALID;(-0.116, 0.041, 0.992);(0.038, 0.000, 0.000);0.284;3.772;13.285;1.008351;0.0962072
3613064;1000081050942577085;63837230201159;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.080, 0.043, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.269;3.557;13.206;VALID;(-0.117, 0.040, 0.992);(0.038, 0.000, 0.000);0.284;3.770;13.285;0.9925736;0.08277829
3613065;1000081050947579043;63837230201159;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.081, 0.043, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.269;3.556;13.206;VALID;(-0.118, 0.039, 0.992);(0.038, 0.000, 0.000);0.284;3.769;13.285;0.9782087;0.09002268
3613066;1000081050952581129;63837230201159;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.082, 0.042, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.269;3.556;13.206;VALID;(-0.119, 0.038, 0.992);(0.038, 0.000, 0.000);0.284;3.768;13.285;0.9641844;0.08210026
3613067;1000081050957586722;63837230201167;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.082, 0.042, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.269;3.556;13.206;VALID;(-0.120, 0.037, 0.992);(0.038, 0.000, 0.000);0.284;3.767;13.285;0.9547535;0.07297575
3613069;1000081050967590943;63837230201178;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.081, 0.042, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.269;3.555;13.206;VALID;(-0.119, 0.038, 0.992);(0.038, 0.000, 0.000);0.283;3.759;13.285;0.9727284;0
3613070;1000081050972593042;63837230201178;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.082, 0.042, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.269;3.555;13.206;VALID;(-0.119, 0.037, 0.992);(0.038, 0.000, 0.000);0.283;3.757;13.285;0.9654683;0
3613071;1000081050977595133;63837230201189;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.082, 0.041, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.269;3.555;13.206;VALID;(-0.119, 0.036, 0.992);(0.038, 0.000, 0.000);0.283;3.756;13.285;0.9574918;0
3613072;1000081050982597211;63837230201189;(0.070, 1.129, -0.112);(-0.082, -0.100, -0.002, 0.992);VALID;(-0.082, 0.041, 0.996);(0.000, 0.000, 0.000);75.650;VALID;(-0.042, 0.045, 0.998);(-0.038, 0.000, 0.000);0.269;3.556;13.206;VALID;(-0.119, 0.036, 0.992);(0.038, 0.000, 0.000);0.283;3.755;13.285;0.9636582;0
