Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
4046287;1000083217855791026;63837232368081;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.129, -0.048, 0.990);(0.000, 0.000, 0.000);76.225;VALID;(-0.090, -0.046, 0.995);(-0.038, 0.000, 0.000);0.303;3.960;13.059;VALID;(-0.187, -0.050, 0.981);(0.038, 0.000, 0.000);0.314;4.090;13.030;0.7698356;0
4046288;1000083217860795193;63837232368081;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.126, -0.046, 0.991);(0.000, 0.000, 0.000);76.225;VALID;(-0.091, -0.044, 0.995);(-0.038, 0.000, 0.000);0.303;3.960;13.059;VALID;(-0.189, -0.048, 0.981);(0.038, 0.000, 0.000);0.314;4.090;13.030;0.7570654;0
4046289;1000083217865799345;63837232368081;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.127, -0.045, 0.991);(0.000, 0.000, 0.000);76.225;VALID;(-0.091, -0.043, 0.995);(-0.038, 0.000, 0.000);0.303;3.960;13.059;VALID;(-0.188, -0.046, 0.981);(0.038, 0.000, 0.000);0.314;4.089;13.030;0.7728531;0
4046290;1000083217870803483;63837232368081;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.128, -0.044, 0.991);(0.000, 0.000, 0.000);76.225;VALID;(-0.092, -0.042, 0.995);(-0.038, 0.000, 0.000);0.303;3.960;13.059;VALID;(-0.188, -0.045, 0.981);(0.038, 0.000, 0.000);0.314;4.089;13.030;0.7747086;0
4046292;1000083217880811716;63837232368101;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.129, -0.043, 0.991);(0.000, 0.000, 0.000);76.225;VALID;(-0.092, -0.041, 0.995);(-0.038, 0.000, 0.000);0.303;3.960;13.059;VALID;(-0.187, -0.044, 0.981);(0.038, 0.000, 0.000);0.314;4.087;13.030;0.7907459;0
4046293;1000083217885815811;63837232368101;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.130, -0.042, 0.991);(0.000, 0.000, 0.000);76.225;VALID;(-0.093, -0.041, 0.995);(-0.038, 0.000, 0.000);0.303;3.961;13.059;VALID;(-0.187, -0.043, 0.982);(0.038, 0.000, 0.000);0.314;4.087;13.030;0.7932363;0
4046294;1000083217890819891;63837232368101;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.131, -0.041, 0.991);(0.000, 0.000, 0.000);76.225;VALID;(-0.093, -0.040, 0.995);(-0.038, 0.000, 0.000);0.303;3.962;13.059;VALID;(-0.186, -0.042, 0.982);(0.038, 0.000, 0.000);0.314;4.087;13.030;0.7958719;0
4046295;1000083217895823956;63837232368101;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.128, -0.041, 0.991);(0.000, 0.000, 0.000);76.225;VALID;(-0.093, -0.040, 0.995);(-0.038, 0.000, 0.000);0.304;3.964;13.059;VALID;(-0.188, -0.043, 0.981);(0.038, 0.000, 0.000);0.314;4.087;13.030;0.7800776;0
4046296;1000083217900824466;63837232368112;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.127, -0.041, 0.991);(0.000, 0.000, 0.000);76.225;VALID;(-0.093, -0.039, 0.995);(-0.038, 0.000, 0.000);0.304;3.966;13.059;VALID;(-0.190, -0.043, 0.981);(0.038, 0.000, 0.000);0.314;4.089;13.030;0.7692642;0
4046297;1000083217905824839;63837232368112;(0.099, 1.102, -0.170);(-0.007, -0.043, -0.002, 0.999);VALID;(-0.126, -0.041, 0.991);(0.000, 0.000, 0.000);76.225;VALID;(-0.093, -0.039, 0.995);(-0.038, 0.000, 0.000);0.304;3.968;13.059;VALID;(-0.191, -0.043, 0.981);(0.038, 0.000, 0.000);0.314;4.091;13.030;0.7592612;0
