Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
4722832;1000086601827499769;63837235752050;(0.039, 1.074, -0.180);(-0.079, -0.075, 0.022, 0.994);VALID;(-0.141, -0.054, 0.989);(0.000, 0.000, 0.000);75.750;VALID;(-0.111, -0.057, 0.992);(-0.038, 0.000, 0.000);0.282;3.698;13.108;VALID;(-0.170, -0.050, 0.984);(0.038, 0.000, 0.000);0.283;3.706;13.080;1.225219;0.4641108
4722833;1000086601832496535;63837235752050;(0.039, 1.074, -0.180);(-0.079, -0.075, 0.022, 0.994);VALID;(-0.140, -0.054, 0.989);(0.000, 0.000, 0.000);75.750;VALID;(-0.109, -0.057, 0.992);(-0.038, 0.000, 0.000);0.282;3.698;13.108;VALID;(-0.170, -0.050, 0.984);(0.038, 0.000, 0.000);0.283;3.708;13.080;1.20809;0.4967128
4722834;1000086601837494888;63837235752050;(0.039, 1.074, -0.180);(-0.079, -0.075, 0.022, 0.994);VALID;(-0.138, -0.054, 0.989);(0.000, 0.000, 0.000);75.750;VALID;(-0.107, -0.057, 0.993);(-0.038, 0.000, 0.000);0.282;3.698;13.108;VALID;(-0.168, -0.050, 0.984);(0.038, 0.000, 0.000);0.284;3.711;13.080;1.20112;0.4969997
4722835;1000086601842493793;63837235752050;(0.039, 1.074, -0.180);(-0.079, -0.075, 0.022, 0.994);VALID;(-0.136, -0.054, 0.989);(0.000, 0.000, 0.000);75.750;VALID;(-0.105, -0.058, 0.993);(-0.038, 0.000, 0.000);0.282;3.698;13.108;VALID;(-0.167, -0.050, 0.985);(0.038, 0.000, 0.000);0.284;3.711;13.080;1.195116;0.526319
4722836;1000086601847492837;63837235752062;(0.039, 1.074, -0.180);(-0.079, -0.075, 0.022, 0.994);VALID;(-0.135, -0.054, 0.989);(0.000, 0.000, 0.000);75.750;VALID;(-0.104, -0.058, 0.993);(-0.038, 0.000, 0.000);0.282;3.698;13.108;VALID;(-0.165, -0.050, 0.985);(0.038, 0.000, 0.000);0.284;3.713;13.080;1.191806;0.5429115
4722837;1000086601852492019;63837235752062;(0.039, 1.074, -0.180);(-0.079, -0.075, 0.022, 0.994);VALID;(-0.133, -0.054, 0.990);(0.000, 0.000, 0.000);75.750;VALID;(-0.102, -0.058, 0.993);(-0.038, 0.000, 0.000);0.282;3.699;13.108;VALID;(-0.164, -0.050, 0.985);(0.038, 0.000, 0.000);0.284;3.713;13.080;1.196525;0.5577109
4722838;1000086601857494691;63837235752074;(0.039, 1.074, -0.180);(-0.080, -0.076, 0.023, 0.994);VALID;(-0.131, -0.054, 0.990);(0.000, 0.000, 0.000);75.750;VALID;(-0.101, -0.058, 0.993);(-0.038, 0.000, 0.000);0.282;3.703;13.108;VALID;(-0.162, -0.051, 0.986);(0.038, 0.000, 0.000);0.284;3.714;13.080;1.199182;0.5565349
4722839;1000086601862497354;63837235752074;(0.039, 1.074, -0.180);(-0.080, -0.076, 0.023, 0.994);VALID;(-0.130, -0.054, 0.990);(0.000, 0.000, 0.000);75.750;VALID;(-0.099, -0.058, 0.993);(-0.038, 0.000, 0.000);0.283;3.703;13.108;VALID;(-0.160, -0.051, 0.986);(0.038, 0.000, 0.000);0.284;3.716;13.080;1.206446;0.6012579
4722840;1000086601867500006;63837235752074;(0.039, 1.074, -0.180);(-0.080, -0.076, 0.023, 0.994);VALID;(-0.129, -0.055, 0.990);(0.000, 0.000, 0.000);75.750;VALID;(-0.098, -0.058, 0.993);(-0.038, 0.000, 0.000);0.283;3.703;13.108;VALID;(-0.159, -0.051, 0.986);(0.038, 0.000, 0.000);0.285;3.725;13.080;1.216074;0.5928829
4722841;1000086601872502648;63837235752085;(0.039, 1.074, -0.180);(-0.079, -0.076, 0.023, 0.994);VALID;(-0.127, -0.055, 0.990);(0.000, 0.000, 0.000);75.750;VALID;(-0.097, -0.059, 0.994);(-0.038, 0.000, 0.000);0.283;3.703;13.108;VALID;(-0.157, -0.051, 0.986);(0.038, 0.000, 0.000);0.285;3.728;13.080;1.226616;0.5974454
4722842;1000086601877505281;63837235752085;(0.039, 1.074, -0.180);(-0.079, -0.076, 0.023, 0.994);VALID;(-0.126, -0.055, 0.991);(0.000, 0.000, 0.000);75.750;VALID;(-0.096, -0.059, 0.994);(-0.038, 0.000, 0.000);0.283;3.705;13.108;VALID;(-0.156, -0.051, 0.986);(0.038, 0.000, 0.000);0.285;3.730;13.080;1.231113;0.6389878
4722843;1000086601882507908;63837235752103;(0.039, 1.074, -0.180);(-0.080, -0.076, 0.023, 0.994);VALID;(-0.125, -0.055, 0.991);(0.000, 0.000, 0.000);75.750;VALID;(-0.095, -0.059, 0.994);(-0.038, 0.000, 0.000);0.283;3.708;13.108;VALID;(-0.154, -0.051, 0.987);(0.038, 0.000, 0.000);0.285;3.732;13.080;1.237178;0.6780332
4722844;1000086601887510527;63837235752104;(0.039, 1.074, -0.180);(-0.080, -0.076, 0.023, 0.994);VALID;(-0.124, -0.055, 0.991);(0.000, 0.000, 0.000);75.750;VALID;(-0.094, -0.059, 0.994);(-0.038, 0.000, 0.000);0.283;3.712;13.108;VALID;(-0.153, -0.052, 0.987);(0.038, 0.000, 0.000);0.285;3.734;13.080;1.245273;0.7108846
4722845;1000086601892513137;63837235752104;(0.039, 1.074, -0.180);(-0.080, -0.076, 0.023, 0.994);VALID;(-0.123, -0.055, 0.991);(0.000, 0.000, 0.000);75.750;VALID;(-0.093, -0.059, 0.994);(-0.038, 0.000, 0.000);0.284;3.722;13.108;VALID;(-0.152, -0.052, 0.987);(0.038, 0.000, 0.000);0.286;3.738;13.080;1.249909;0.7606951
4722846;1000086601897515739;63837235752104;(0.039, 1.074, -0.180);(-0.080, -0.076, 0.023, 0.994);VALID;(-0.122, -0.056, 0.991);(0.000, 0.000, 0.000);75.750;VALID;(-0.093, -0.059, 0.994);(-0.038, 0.000, 0.000);0.284;3.729;13.108;VALID;(-0.151, -0.052, 0.987);(0.038, 0.000, 0.000);0.286;3.739;13.080;1.257267;0.7700614
4722847;1000086601902518333;63837235752121;(0.038, 1.074, -0.180);(-0.080, -0.076, 0.024, 0.994);VALID;(-0.121, -0.056, 0.991);(0.000, 0.000, 0.000);75.750;VALID;(-0.092, -0.060, 0.994);(-0.038, 0.000, 0.000);0.285;3.734;13.108;VALID;(-0.150, -0.052, 0.987);(0.038, 0.000, 0.000);0.286;3.740;13.080;1.270534;0.7914881
4722848;1000086601907520918;63837235752121;(0.038, 1.074, -0.180);(-0.080, -0.076, 0.024, 0.994);VALID;(-0.120, -0.056, 0.991);(0.000, 0.000, 0.000);75.750;VALID;(-0.091, -0.060, 0.994);(-0.038, 0.000, 0.000);0.285;3.738;13.108;VALID;(-0.149, -0.053, 0.987);(0.038, 0.000, 0.000);0.286;3.740;13.080;1.278293;0.8143268
4722849;1000086601912523492;63837235752121;(0.038, 1.074, -0.180);(-0.080, -0.076, 0.024, 0.994);VALID;(-0.120, -0.056, 0.991);(0.000, 0.000, 0.000);75.750;VALID;(-0.091, -0.060, 0.994);(-0.038, 0.000, 0.000);0.285;3.741;13.108;VALID;(-0.148, -0.053, 0.988);(0.038, 0.000, 0.000);0.286;3.740;13.080;1.2884;0.8339523
