Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
3034714;1000025184829754707;63837331904084;(-0.066, 1.078, -0.097);(0.019, 0.066, 0.019, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034715;1000025184834758764;63837331904084;(-0.066, 1.078, -0.097);(0.019, 0.066, 0.019, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034716;1000025184839762806;63837331904084;(-0.066, 1.078, -0.097);(0.019, 0.066, 0.019, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034717;1000025184844766780;63837331904084;(-0.066, 1.078, -0.097);(0.019, 0.066, 0.019, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034718;1000025184849770607;63837331904084;(-0.066, 1.078, -0.097);(0.019, 0.066, 0.019, 0.997);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034719;1000025184854774286;63837331904095;(-0.069, 1.078, -0.098);(0.020, 0.061, 0.020, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034720;1000025184859777845;63837331904095;(-0.069, 1.078, -0.098);(0.020, 0.061, 0.020, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034721;1000025184864781255;63837331904108;(-0.072, 1.078, -0.099);(0.020, 0.056, 0.020, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034722;1000025184869781112;63837331904108;(-0.072, 1.078, -0.099);(0.020, 0.056, 0.020, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034723;1000025184874780916;63837331904109;(-0.072, 1.078, -0.099);(0.020, 0.056, 0.020, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034724;1000025184879780722;63837331904114;(-0.074, 1.078, -0.100);(0.021, 0.051, 0.021, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034725;1000025184884780529;63837331904124;(-0.077, 1.078, -0.101);(0.022, 0.046, 0.021, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034726;1000025184889780337;63837331904124;(-0.077, 1.078, -0.101);(0.022, 0.046, 0.021, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034727;1000025184894780146;63837331904135;(-0.080, 1.077, -0.102);(0.022, 0.041, 0.022, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034728;1000025184899779955;63837331904135;(-0.080, 1.077, -0.102);(0.022, 0.041, 0.022, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
3034729;1000025184904779766;63837331904147;(-0.083, 1.077, -0.103);(0.022, 0.036, 0.023, 0.999);VALID;(-0.052, 0.127, 0.990);(0.000, 0.000, 0.000);66.925;INVALID;;;;;;VALID;(-0.071, 0.115, 0.991);(0.033, 0.000, 0.000);0.294;3.941;13.405;2;0
