Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2420007;1000075083459188257;63837224233688;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.026, -0.113, 0.993);(-0.038, 0.000, 0.000);0.309;4.014;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.105;12.984;1.063074;0.8204076
2420008;1000075083464190982;63837224233688;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.026, -0.113, 0.993);(-0.038, 0.000, 0.000);0.309;4.014;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.105;12.984;1.064637;0.8695503
2420009;1000075083469193699;63837224233688;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.026, -0.113, 0.993);(-0.038, 0.000, 0.000);0.309;4.014;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.105;12.984;1.066212;0.8969494
2420010;1000075083474196406;63837224233688;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.026, -0.113, 0.993);(-0.038, 0.000, 0.000);0.309;4.014;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.105;12.984;1.067495;0.9192248
2420011;1000075083479199105;63837224233688;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.026, -0.112, 0.993);(-0.038, 0.000, 0.000);0.309;4.014;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.105;12.984;1.068718;0.9332699
2420012;1000075083484201793;63837224233696;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.026, -0.112, 0.993);(-0.038, 0.000, 0.000);0.309;4.015;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.105;12.984;1.069712;0.9369539
2420013;1000075083489201011;63837224233696;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.026, -0.112, 0.993);(-0.038, 0.000, 0.000);0.309;4.015;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.105;12.984;1.070835;0.9278548
2420014;1000075083494200233;63837224233707;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.026, -0.112, 0.993);(-0.038, 0.000, 0.000);0.309;4.016;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.104;12.984;1.071706;0.9340845
2420015;1000075083499199457;63837224233707;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.025, -0.112, 0.993);(-0.038, 0.000, 0.000);0.309;4.016;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.104;12.984;1.073998;0.9074658
2420016;1000075083504198765;63837224233717;(0.098, 1.058, -0.330);(-0.083, -0.027, 0.034, 0.996);VALID;(-0.060, -0.104, 0.993);(0.000, 0.000, 0.000);75.925;VALID;(-0.025, -0.112, 0.993);(-0.038, 0.000, 0.000);0.309;4.017;12.983;VALID;(-0.092, -0.095, 0.991);(0.038, 0.000, 0.000);0.316;4.104;12.984;1.075056;0.8882236
