Key,KeyID,HitPointLocalX,HitPointLocalY,KeyGroundTruthLocalX,KeyGroundTruthLocalY
u,21,0.501649,-0.06689647,0.5167501,0.01100031
u,21,0.6389787,-0.06507979,0.5167501,0.01100031
i,9,0.8122282,-0.06798748,0.8667499,0.01100029
i,9,0.8868909,-0.09470014,0.8667499,0.01100029
i,9,0.9172766,-0.1071115,0.8667499,0.01100029
i,9,0.9334078,-0.1078899,0.8667499,0.01100029
i,9,0.941733,-0.108595,0.8667499,0.01100029
i,9,0.9469169,-0.08472251,0.8667499,0.01100029
i,9,0.9509557,-0.06987819,0.8667499,0.01100029
i,9,0.9567207,-0.06213601,0.8667499,0.01100029
i,9,0.9650986,-0.06099152,0.8667499,0.01100029
i,9,0.9711038,-0.05607476,0.8667499,0.01100029
i,9,0.9753886,-0.05211961,0.8667499,0.01100029
i,9,0.9794402,-0.0483408,0.8667499,0.01100029
i,9,0.9814081,-0.04779362,0.8667499,0.01100029
i,9,0.9831591,-0.05034992,0.8667499,0.01100029
i,9,0.9769905,-0.03150949,0.8667499,0.01100029
i,9,0.9787403,-0.02414896,0.8667499,0.01100029
i,9,0.9793332,-0.01956371,0.8667499,0.01100029
i,9,0.9813393,-0.01472835,0.8667499,0.01100029
i,9,0.9812587,-0.01615919,0.8667499,0.01100029
i,9,0.9991378,0.002195062,0.8667499,0.01100029
o,15,1.281554,0.05431464,1.21675,0.01100027
p,16,1.531128,0.0880637,1.56675,0.01100035
p,16,1.669308,0.1157719,1.56675,0.01100035
p,16,1.707111,0.1413376,1.56675,0.01100035
p,16,1.668825,0.0242888,1.56675,0.01100035
p,16,1.607266,0.02813927,1.56675,0.01100035
p,16,1.561478,0.02937917,1.56675,0.01100035
p,16,1.543176,0.03355233,1.56675,0.01100035
p,16,1.530132,0.04511953,1.56675,0.01100035
p,16,1.522571,0.05651642,1.56675,0.01100035
p,16,1.517523,0.06096764,1.56675,0.01100035
p,16,1.512123,0.05670236,1.56675,0.01100035
p,16,1.502862,0.05062054,1.56675,0.01100035
p,16,1.494396,0.0479079,1.56675,0.01100035
p,16,1.484329,0.04766349,1.56675,0.01100035
p,16,1.477302,0.05455327,1.56675,0.01100035
p,16,1.476402,0.0651102,1.56675,0.01100035
p,16,1.469454,0.07684199,1.56675,0.01100035
p,16,1.471704,0.09698157,1.56675,0.01100035
p,16,1.475088,0.1284893,1.56675,0.01100035
p,16,1.479464,0.1396723,1.56675,0.01100035
p,16,1.482969,0.1472911,1.56675,0.01100035
p,16,1.568995,0.1493365,1.56675,0.01100035
p,16,1.677733,0.1522153,1.56675,0.01100035
p,16,1.675424,0.1830978,1.56675,0.01100035
p,16,1.696647,0.1954302,1.56675,0.01100035
p,16,1.706921,0.181918,1.56675,0.01100035
p,16,1.587322,0.1742695,1.56675,0.01100035
p,16,1.553557,0.1633128,1.56675,0.01100035
p,16,1.535136,0.1570063,1.56675,0.01100035
p,16,1.521043,0.1531162,1.56675,0.01100035
p,16,1.502006,0.1477485,1.56675,0.01100035
p,16,1.500028,0.1441514,1.56675,0.01100035
p,16,1.499732,0.1354663,1.56675,0.01100035
p,16,1.498674,0.1280458,1.56675,0.01100035
p,16,1.496763,0.1252435,1.56675,0.01100035
p,16,1.501863,0.1164671,1.56675,0.01100035
p,16,1.500436,0.1099738,1.56675,0.01100035
p,16,1.501511,0.1053342,1.56675,0.01100035
p,16,1.510627,0.1023724,1.56675,0.01100035
p,16,1.514459,0.1016729,1.56675,0.01100035
p,16,1.517222,0.1027952,1.56675,0.01100035
p,16,1.515849,0.1032576,1.56675,0.01100035
p,16,1.515017,0.1024678,1.56675,0.01100035
p,16,1.50952,0.09901705,1.56675,0.01100035
p,16,1.513511,0.09385593,1.56675,0.01100035
p,16,1.557742,0.09002265,1.56675,0.01100035
p,16,1.669915,0.08450104,1.56675,0.01100035
