absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText
191736.4023506,1.288207,0.0178842,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.4209843,1.306764,0.0185572,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.4384609,1.324318,0.0175537,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.4558075,1.341655,0.0173372,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.4733889,1.359431,0.0177752,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.4909997,1.376868,0.017437,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.5087585,1.394577,0.0177094,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.5260466,1.41194,0.0173631,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.5431098,1.428899,0.0169585,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.5601316,1.445854,0.0169558,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.5770721,1.462926,0.0170714,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.5933605,1.479546,0.01662,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.6105915,1.496351,0.0168055,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.6273173,1.513136,0.0167843,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.6442186,1.529945,0.0168097,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.6599359,1.545767,0.0158214,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.6766371,1.562479,0.0167121,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.6923368,1.578541,0.0160623,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.7092631,1.595155,0.016614,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.7249209,1.610789,0.0156336,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.7413201,1.627107,0.016318,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.7565263,1.642338,0.0152315,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.7719505,1.658137,0.0157992,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.7882749,1.674095,0.0159579,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.8040866,1.689925,0.0158297,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.820149,1.70541,0.0154851,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.8350715,1.720732,0.0153218,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.850412,1.736433,0.0157006,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.8664887,1.751979,0.0155468,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.8803565,1.766205,0.0142253,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.8954304,1.781293,0.0150888,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.9103462,1.796492,0.015199,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.9254337,1.811341,0.0148484,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.9404933,1.826214,0.014873,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.9559606,1.841493,0.015279,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.9696074,1.855777,0.0142841,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.98528,1.870774,0.0149966,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191736.9994757,1.88524,0.0144664,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.0133017,1.89949,0.0142506,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.0280906,1.913965,0.014474,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.0431313,1.928749,0.0147844,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.0575489,1.943321,0.0145718,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.0707054,1.956852,0.013531,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.0865017,1.972118,0.0152664,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.0994208,1.985245,0.0131272,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.1133484,1.999509,0.0142634,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
