absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText
791643.1794602,1.134334,0.0155078,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.1942628,1.149262,0.0149277,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.2093659,1.16429,0.0150281,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.2256661,1.180624,0.0163336,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.2385419,1.19363,0.0130063,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.2533706,1.208417,0.0147872,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.2689016,1.223754,0.0153367,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.2825103,1.237649,0.0138949,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.2973072,1.252325,0.0146759,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.3123477,1.267049,0.0147245,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.32634,1.281318,0.0142693,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.3408019,1.295865,0.0145462,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.3549054,1.309693,0.0138279,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.3693031,1.324207,0.0145143,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.3829542,1.338107,0.0139003,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.3972331,1.352245,0.014138,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.4117568,1.366623,0.0143777,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.4254493,1.380332,0.0137088,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.438927,1.394022,0.0136903,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.4533041,1.408051,0.0140291,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.4667025,1.421715,0.0136643,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.4804512,1.43554,0.013825,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.4938717,1.448907,0.0133668,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.5075481,1.46255,0.0136431,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.5220765,1.477032,0.0144817,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.5351763,1.490024,0.0129924,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.5479824,1.503014,0.0129895,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.5694566,1.519471,0.016457,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.5746304,1.529634,0.0101635,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.5881595,1.543009,0.0133751,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.6014033,1.556451,0.0134416,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.6144563,1.569496,0.0130445,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.627455,1.58249,0.0129944,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.6405034,1.595552,0.0130621,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.6538623,1.608828,0.0132759,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.6675234,1.622383,0.0135549,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.6798554,1.63461,0.0122274,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.6927641,1.647787,0.0131765,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.7051323,1.660046,0.0122596,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.717799,1.672945,0.0128992,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.7313776,1.686358,0.0134122,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.743474,1.698487,0.0121292,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.7572915,1.712165,0.013678,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.7692025,1.72414,0.0119752,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.78131,1.736402,0.0122623,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.7937651,1.748736,0.0123335,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.8066654,1.761653,0.0129171,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.8183429,1.77343,0.0117773,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.8309928,1.786003,0.0125723,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.8432991,1.798333,0.0123302,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.856506,1.81147,0.0131373,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.8683075,1.823236,0.0117662,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.8797983,1.834866,0.0116299,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.8921795,1.84715,0.012284,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.9040102,1.859133,0.0119823,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.9172869,1.872172,0.0130395,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.9283008,1.883343,0.0111711,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.940253,1.895357,0.0120137,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.9522973,1.907267,0.0119099,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
