absoluteTime,trialTime,deltaTime,trialIndex,xPos,yPos,zPos,xRot,yRot,zRot,conditionType,currentText,targetText
791642.9267878,0.8818056,0.0166513,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791642.9432227,0.8979509,0.0161453,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791642.959499,0.9143522,0.0164013,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791642.976028,0.9309273,0.0165751,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791642.9921518,0.9471628,0.0162355,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.0083182,0.9628545,0.0156917,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.0240855,0.9790904,0.0162359,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.0396865,0.9947044,0.015614,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.0558447,1.010681,0.0159766,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.0716837,1.026658,0.0159771,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.086974,1.041964,0.0153056,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.1030622,1.058019,0.0160557,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.117917,1.072878,0.0148586,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.1335681,1.088558,0.0156797,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.1487964,1.103793,0.0152356,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.1637996,1.118826,0.0150331,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.1794552,1.134334,0.0155078,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.1942602,1.149262,0.0149277,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.2093604,1.16429,0.0150281,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.2256613,1.180624,0.0163336,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.2385394,1.19363,0.0130063,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.2533659,1.208417,0.0147872,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.2688967,1.223754,0.0153367,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.2825076,1.237649,0.0138949,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.2973044,1.252325,0.0146759,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.3123437,1.267049,0.0147245,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.3263373,1.281318,0.0142693,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.340799,1.295865,0.0145462,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.3549009,1.309693,0.0138279,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.3693001,1.324207,0.0145143,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.3829518,1.338107,0.0139003,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.3972297,1.352245,0.014138,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.4117522,1.366623,0.0143777,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.425446,1.380332,0.0137088,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.4389244,1.394022,0.0136903,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.4533005,1.408051,0.0140291,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.4667,1.421715,0.0136643,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.4804484,1.43554,0.013825,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.4938688,1.448907,0.0133668,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
791643.5075414,1.46255,0.0136431,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Unknown,,hey everyone
