absoluteTime,trialTime,deltaTime,trialIndex,xPos,yPos,zPos,xRot,yRot,zRot,conditionType,currentText,targetText
791642.926793,0.8818056,0.0166513,0,-0.02151829,1.135392,-1.252769,0.1043063,0.06860557,-0.01049759,Unknown,,hey everyone
791642.9432336,0.8979509,0.0161453,0,-0.02153965,1.135364,-1.252779,0.104378,0.06865825,-0.01039287,Unknown,,hey everyone
791642.9595049,0.9143522,0.0164013,0,-0.02154996,1.135322,-1.252792,0.1044072,0.06874987,-0.01029054,Unknown,,hey everyone
791642.9760341,0.9309273,0.0165751,0,-0.02153108,1.135325,-1.252817,0.1044432,0.0687817,-0.01021233,Unknown,,hey everyone
791642.9921584,0.9471628,0.0162355,0,-0.02152129,1.135324,-1.252838,0.1043988,0.06890652,-0.0101166,Unknown,,hey everyone
791643.0083288,0.9628545,0.0156917,0,-0.02150123,1.135324,-1.252884,0.1043117,0.0690163,-0.01010031,Unknown,,hey everyone
791643.0240919,0.9790904,0.0162359,0,-0.02154676,1.13527,-1.252922,0.104265,0.06913274,-0.01008911,Unknown,,hey everyone
791643.0396939,0.9947044,0.015614,0,-0.02155442,1.135252,-1.252962,0.1042039,0.06923817,-0.01005522,Unknown,,hey everyone
791643.0558511,1.010681,0.0159766,0,-0.02153235,1.135275,-1.252991,0.1041983,0.06931932,-0.009985466,Unknown,,hey everyone
791643.0716926,1.026658,0.0159771,0,-0.02159247,1.135211,-1.253048,0.1041536,0.06939726,-0.009952075,Unknown,,hey everyone
791643.0869797,1.041964,0.0153056,0,-0.02162222,1.135151,-1.253128,0.1040962,0.06945414,-0.009938609,Unknown,,hey everyone
791643.1030686,1.058019,0.0160557,0,-0.02166689,1.135085,-1.253195,0.1040793,0.0695181,-0.00989674,Unknown,,hey everyone
791643.1179233,1.072878,0.0148586,0,-0.02166374,1.135069,-1.253236,0.104017,0.06956927,-0.009868958,Unknown,,hey everyone
791643.1335743,1.088558,0.0156797,0,-0.02165822,1.135061,-1.253279,0.1039046,0.06965314,-0.009791136,Unknown,,hey everyone
791643.1488033,1.103793,0.0152356,0,-0.0216992,1.135042,-1.253339,0.1038192,0.06976255,-0.009728667,Unknown,,hey everyone
791643.1638055,1.118826,0.0150331,0,-0.02174411,1.13496,-1.253427,0.1037097,0.06986769,-0.00967806,Unknown,,hey everyone
791643.1794648,1.134334,0.0155078,0,-0.02176469,1.134925,-1.253498,0.1036226,0.06995268,-0.009660117,Unknown,,hey everyone
791643.1942657,1.149262,0.0149277,0,-0.02176984,1.134923,-1.253561,0.103575,0.07002226,-0.009633465,Unknown,,hey everyone
791643.2093701,1.16429,0.0150281,0,-0.02176711,1.134948,-1.253583,0.1035653,0.07007878,-0.009575048,Unknown,,hey everyone
791643.2256701,1.180624,0.0163336,0,-0.02175873,1.135007,-1.253577,0.1035198,0.07012366,-0.009519834,Unknown,,hey everyone
791643.2385448,1.19363,0.0130063,0,-0.02182365,1.135023,-1.253649,0.1034971,0.07020194,-0.009462697,Unknown,,hey everyone
791643.2533753,1.208417,0.0147872,0,-0.02182773,1.135042,-1.253692,0.103441,0.07026664,-0.009421057,Unknown,,hey everyone
791643.2689073,1.223754,0.0153367,0,-0.02185985,1.135059,-1.253712,0.1033751,0.07030097,-0.009376911,Unknown,,hey everyone
